2025-11-01,2025-11-01 22:18:40,-1,2025-11-03 15:56:28,63468,9.80
2025-11-03,2025-11-03 16:47:27,1,2025-11-06 02:59:37,36730,-4.07
2025-11-06,2025-11-06 03:01:55,-1,2025-11-06 15:12:10,43815,2.20
2025-11-06,2025-11-06 15:51:16,1,2025-11-07 08:11:50,58834,1.39
2025-11-07,2025-11-07 08:13:22,-1,2025-11-07 12:52:03,16721,4.23
2025-11-07,2025-11-07 13:36:54,1,2025-11-09 09:58:46,73312,4.18
2025-11-09,2025-11-09 10:08:44,-1,2025-11-11 04:14:08,65124,-7.17
2025-11-11,2025-11-11 07:13:09,-1,2025-11-11 17:22:16,36547,2.83
2025-11-11,2025-11-11 17:58:18,1,2025-11-11 22:39:40,16882,-1.69
2025-11-11,2025-11-11 22:56:55,-1,2025-11-12 16:10:23,62008,1.18
2025-11-12,2025-11-12 17:02:31,1,2025-11-13 11:10:25,65274,1.97
2025-11-13,2025-11-13 11:15:47,-1,2025-11-13 15:21:53,14766,1.06
2025-11-13,2025-11-13 16:17:05,1,2025-11-15 07:12:44,53739,-6.43
2025-11-15,2025-11-15 07:13:30,-1,2025-11-16 16:55:12,34902,4.71
2025-11-16,2025-11-16 18:07:39,1,2025-11-17 09:01:12,53613,3.29
2025-11-17,2025-11-17 09:11:33,-1,2025-11-17 15:19:56,22103,3.00
2025-11-17,2025-11-17 16:31:14,1,2025-11-19 01:11:59,31245,3.96
2025-11-19,2025-11-19 01:13:31,-1,2025-11-20 12:58:16,42285,-1.18
2025-11-20,2025-11-20 15:08:13,-1,2025-11-23 07:04:37,57384,7.58
2025-11-23,2025-11-23 22:06:59,-1,2025-11-27 13:45:10,56291,-6.26
